Band Value,NDVI Count
-0.02,2
-0.016,
-0.012,1
-0.008,1
-0.004,2
0,2
0.004,1
0.008,
0.012,2
0.016,5
0.02,2
0.023,
0.027,1
0.031,
0.035,
0.039,5
0.043,
0.047,3
0.051,1
0.055,
0.059,1
0.063,
0.066,3
0.07,2
0.074,
0.078,2
0.082,
0.086,2
0.09,
0.094,
0.098,1
0.102,
0.105,
0.109,4
0.113,
0.117,
0.121,
0.125,
0.129,3
0.133,
0.137,2
0.141,3
0.145,3
0.148,1
0.152,
0.156,3
0.16,3
0.164,
0.168,
0.172,3
0.176,3
0.18,3
0.184,
0.188,
0.191,
0.195,1
0.199,
0.203,
0.207,
0.211,2
0.215,
0.219,2
0.223,1
0.227,
0.23,3
0.234,
0.238,
0.242,
0.246,2
0.25,2
0.254,1
0.258,2
0.262,
0.266,1
0.27,1
0.273,2
0.277,3
0.281,
0.285,
0.289,3
0.293,1
0.297,4
0.301,2
0.305,3
0.309,1
0.313,2
0.316,2
0.32,3
0.324,
0.328,4
0.332,4
0.336,1
0.34,
0.344,3
0.348,1
0.352,3
0.355,5
0.359,5
0.363,3
0.367,5
0.371,3
0.375,2
0.379,6
0.383,6
0.387,4
0.391,7
0.395,5
0.398,7
0.402,5
0.406,8
0.41,7
0.414,4
0.418,3
0.422,10
0.426,9
0.43,8
0.434,7
0.438,6
0.441,8
0.445,7
0.449,12
0.453,5
0.457,12
0.461,14
0.465,10
0.469,15
0.473,12
0.477,16
0.48,27
0.484,21
0.488,31
0.492,34
0.496,46
0.5,49.502
0.504,56
0.508,62
0.512,65
0.516,75.792
0.52,88
0.523,84
0.527,83.427
0.531,115.69
0.535,150.58
0.539,145.6
0.543,143
0.547,166.867
0.551,192.62
0.555,209.18
0.559,198
0.563,229.075
0.566,272.514
0.57,280.286
0.574,335.863
0.578,316.624
0.582,400.745
0.586,407.686
0.59,528.31
0.594,559.11
0.598,568.157
0.602,571.624
0.605,642.624
0.609,775.302
0.613,686.149
0.617,753.2
0.621,773.941
0.625,"1,102.333"
0.629,983.498
0.633,970.102
0.637,"1,059.024"
0.641,"1,215.18"
0.645,"1,441.337"
0.648,"1,292.98"
0.652,"1,491.522"
0.656,"1,427.416"
0.66,"1,818.322"
0.664,"1,722.275"
0.668,"1,698.714"
0.672,"1,778.153"
0.676,"1,940.733"
0.68,"2,214.333"
0.684,"1,841.169"
0.688,"1,955.639"
0.691,"1,911.329"
0.695,"2,264.847"
0.699,"2,265.722"
0.703,"1,886.973"
0.707,"2,000.953"
0.711,"2,036.443"
0.715,"2,378.882"
0.719,"1,878.561"
0.723,"1,804.475"
0.727,"1,501.831"
0.73,"1,632.98"
0.734,"1,349.447"
0.738,980.839
0.742,851.671
0.746,669.031
0.75,805.855
0.754,425.537
0.758,404.278
0.762,334.137
0.766,255.337
0.77,304.11
0.773,189.259
0.777,188.549
0.781,215.235
0.785,171.329
0.789,262.294
0.793,162.718
0.797,134.271
0.801,238.412
0.805,72.557
0.809,214.216
0.813,187.369
0.816,88.831
0.82,307.776
0.824,57.604
0.828,255.259
0.832,176.502
0.836,33
0.84,66
0.844,10
0.848,16
0.852,1
