Band Value,SOC_tCha Count
18,1
19,9
20,45
21,194.875
22,511.659
23,"1,052.89"
24,"1,782.271"
25,"2,321.533"
26,"2,525.941"
27,"2,780.31"
28,"3,231.247"
29,"3,582.894"
30,"3,668.659"
31,"3,725.298"
32,"3,454.91"
33,"3,126.086"
34,"2,936.839"
35,"2,948.573"
36,"2,693.514"
37,"2,538.816"
38,"2,587.333"
39,"2,537.278"
40,"2,354.149"
41,"2,126.655"
42,"1,751.129"
43,"1,454.361"
44,"1,223.337"
45,992.149
46,810.318
47,709.922
48,585.522
49,520.878
50,513.537
51,528.737
52,505.475
53,530.643
54,573.149
55,556.122
56,529.596
57,470.639
58,411.329
59,318.957
60,227.506
61,144.89
62,97.255
63,52
64,35
65,13.259
66,6
67,
68,1.71
